Course Name,Description
AER515H1,Combustion Processes Scope and history of combustion and fossil fuels; thermodynamics and kinetics of combustion including heats of formation and reaction adiabatic flame temperature elementary and global reactions equilibrium calculations of combustion products and kinetics of pollutant formation mechanisms; propagation of laminar premixed flames and detonations flammability limits ignition and quenching; gaseous diffusion flames and droplet burning; introduction to combustion in practical devices such as rockets gas turbines reciprocating engines and furnaces; environmental aspects of combustion
AER525H1,Robotics The course addresses fundamentals of analytical robotics as well as design and control of industrial robots and their instrumentation Topics include forward inverse and differential kinematics screw representation statics inverse and forward dynamics motion and force control of robot manipulators actuation schemes task-based and workspace design mobile manipulation and sensors and instrumentation in robotic systems A series of experiments in the Robotics Laboratory will illustrate the course subjects
APM446H1,Applied Nonlinear Equations Partial differential equations appearing in physics material sciences biology geometry and engineering Nonlinear evolution equations Existence and long-time behaviour of solutions Existence of static traveling wave self-similar topological and localized solutions Stability Formation of singularities and pattern formation Fixed point theorems spectral analysis bifurcation theory Equations considered in this course may include: Allen-Cahn equation material science Ginzburg-Landau equation condensed matter physics Cahn-Hilliard material science biology nonlinear Schroedinger equation quantum and plasma physics water waves etc mean curvature flow geometry material sciences Fisher-Kolmogorov-Petrovskii-Piskunov combustion theory biology Keller-Segel equations biology and Chern-Simons equations particle and condensed matter physics
APM466H1,Mathematical Theory of Finance Introduction to the basic mathematical techniques in pricing theory and risk management: Stochastic calculus single-period finance financial derivatives tree-approximation and Black-Scholes model for equity derivatives American derivatives numerical methods lattice models for interest-rate derivatives value at risk credit risk portfolio theory
APS100H1,Orientation to Engineering This course is designed to help students transition into first-year engineering studies and to develop and apply a greater understanding of the academic learning environment the field of engineering and how the fundamental mathematics and sciences are used in an engineering context Topics covered include: study skills time management problem solving successful teamwork effective communications exam preparation stress management and wellness undergraduate research extra- and co-curricular involvement engineering disciplines and career opportunities and applications of math and science in engineering
APS105H1,Computer Fundamentals An introduction to computer systems and problem solving using computers Topics include: the representation of information programming techniques programming style basic loop structures functions arrays strings pointer-based data structures and searching and sorting algorithms The laboratories reinforce the lecture topics and develops essential programming skills
APS106H1,Fundamentals of Computer Programming An introduction to computer systems and software Topics include the representation of information algorithms programming languages operating systems and software engineering Emphasis is on the design of algorithms and their implementation in software Students will develop a competency in the Python programming language Laboratory exercises will explore the concepts of both Structure-based and Object-Oriented programming using examples drawn from mathematics and engineering applications
APS110H1,Engineering Chemistry and Materials Science This course is structured around the principle of the structure-property relationship This relationship refers to an understanding of the microstructure of a solid that is the nature of the bonds between atoms and the spatial arrangement of atoms which permits the explanation of observed behaviour Observed materials behaviour includes mechanical electrical magnetic optical and corrosive behaviour Topics covered in this course include: structure of the atom models of the atom electronic configuration the electromagnetic spectrum band theory atomic bonding optical transparency of solids magnetic properties molecular bonding hybridized orbitals crystal systems lattices and structures crystallographic notation imperfections in solids reaction rates activation energy solid-state diffusion materials thermodynamics free energy and phase equilibrium
APS111H1,Engineering Strategies & Practice I This course introduces and provides a framework for the design process Students are introduced to communication as an integral component of engineering practice The course is a vehicle for understanding problem solving and developing communications skills This first course in the two Engineering Strategies and Practice course sequence introduces students to the process of engineering design to strategies for successful team work and to design for human factors society and the environment Students write team and individual technical reports
APS112H1,Engineering Strategies & Practice II This course introduces and provides a framework for the design process problem solving and project management Students are introduced to communication as an integral component of engineering practice The course is a vehicle for practicing team skills and developing communications skills Building on the first course this second course in the two Engineering Strategies and Practice course sequence introduces students to project management and to the design process in greater depth Students work in teams on a term length design project Students will write a series of technical reports and give a team based design project presentation
APS150H1,Ethics in Engineering An introduction to professional ethics and the Academic Code of Conduct Topics include: the theory of ethics professional code of ethics ethics in the profession proper use of intellectual property in the professional and in academic settings plagiarism the Academic Code of Conduct and application of ethics in practice
APS160H1,Mechanics The principles of statics are applied to composition and resolution of forces moments and couples The equilibrium states of structures are examined Throughout the free body diagram concept is emphasized Vector algebra is used where it is most useful and stress blocks are introduced Shear force diagrams bending moment diagrams and stress-strain relationships for materials are discussed Stress and deformation in axially loaded members and flexural members beams are also covered
APS161H1,Dynamics This course on Newtonian mechanics considers the interactions which influence 2-D curvilinear motion These interactions are described in terms of the concepts of force work momentum and energy Initially the focus is on the kinematics and kinetics of particles Then the kinematics and kinetics of systems of particles and solid bodies are examined Finally simple harmonic motion is discussed The occurrence of dynamic motion in natural systems such as planetary motion is emphasized Applications to engineered systems are also introduced
APS162H1,Calculus for Engineers I This online-only course focuses on the fundamental tools of calculus and its connections to engineering The topics include limits differentiation graphing optimization problems and definite and indefinite integrals Problems combining calculus with geometry linear algebra statics and mechanics will be examined
APS163H1,Calculus for Engineers II This online-only course focuses on the fundamental tools of calculus and its connections to engineering The topics include methods of integration an introduction to differential equations series and Taylor series vector differentiation and partial differentiation Problems combining calculus with geometry linear algebra statics and mechanics will be examined
APS164H1,Introductory Chemistry from a Materials Perspective This online course is structured around the principle of structure-property relationship This relationship refers to an understanding of the microstructure of a solid that is the nature of the bonds between atoms and the spatial arrangement of atoms which permits the explanation of observed behaviour Observed materials behaviour includes mechanical electrical magnetic optical and corrosive behaviour Topics covered in this course include: structure of the atom models of the atom electronic configuration the electromagnetic spectrum band theory atomic bonding optical transparency of solids magnetic properties molecular bonding hybridized orbitals crystal systems lattices and structures crystallographic notation imperfections in solids reaction rates activation energy solid-state diffusion materials thermodynamics free energy and phase equilibrium
APS191H1,Introduction to Engineering This is a seminar series that will preview the core fields in Engineering Each seminar will highlight one of the major areas of Engineering The format will vary and may include application examples challenges case studies career opportunities etc The purpose of the seminar series is to provide first year students with some understanding of the various options within the Faculty to enable them to make educated choices for second year This course will be offered on a credit/no credit basis
APS305H1,Energy Policy Complimentary Studies ElectiveCore Course in the Sustainable Energy MinorIntroduction to public policy including the role and interaction of technology and regulation policy reinforcing/feedback cycles; procedures for legislation and policy setting at the municipal provincial and federal levels; dimensions of energy policy; energy planning and forecasting including demand management and conservation incentives; policy institution analysis implementation evaluation and evolution; Critical analyses of case studies of energy and associated environmental policies with respect to conservation and demand management for various utilities and sectors; policy derivatives for varied economic and social settings developing countries and associated impacts
APS330H1,Interdisciplinary Studies for Sustainability & Innovation: How to Change the World This is an interdisciplinary and multi-university project-based course focused on positively impacting the complex sustainability challenges faced by real-world communities around the world Throughout this course students work in small three to five person interdisciplinary and multi-university teams in order to 1 identify and understand a well-defined sustainability social and/or environmental problem faced by a real-world community and then 2 devise design and propose an implementable idea for positively impacting that problem During the course students are provided with multiple facilitated and structured opportunities to: engage directly with local stakeholders from the community their team is focused on; receive mentorship from a global network of experienced sustainability and innovation experts; and collaborate with a diverse array of students from other disciplines and institutions working on similar sustainability problems with other communities around the world
APS360H1,Applied Fundamentals of Deep Learning A basic introduction to the history technology programming and applications of the fast evolving field of deep learning Topics to be covered may include neural networks autoencoders/decoders recurrent neural networks natural language processing and generative adversarial networks Special attention will be paid to fairness and ethics issues surrounding machine learning An applied approach will be taken where students get hands-on exposure to the covered techniques through the use of state-of-the-art machine learning software frameworks
APS420H1,Technology Engineering and Global Development Humanities and Social Science ElectiveThe role of technology and engineering in global development is explored through a combination of lectures readings case studies and analysis of key technologies including energy information and communications technologies water and healthcare Topics include a brief history and basic theories of international development and foreign aid major government and non-government players emerging alternative models social entrepreneurship microfinance risk capital approaches major and emerging players in social venture capital and philanthropy the role of financial markets environmental and resource considerations/sustainable development technology diffusion models and appropriate technologies
APS440H1,Making Sense of Accidents Despite the best of engineering practices spectacular failures of complex technological systems occur regularly Traditional engineering explanations for the causes of accidents utilize eventchain models and often blame operators This course highlights the limitations of such models and shows that accidents in sociotechnical systems can be better understood using systems engineering Further insights are provided by reviewing various sociological theories that have been advanced to explain and prevent accidents
APS470H1,Engineering and Public Health An introduction to the disciplines of public health and the connections with engineering; quantitative and qualitative public health methods including study designs and statistical analysis; legal regulatory and ethical frameworks applicable to public health; the structure and regulation of the public health and health care system; examples of common public health hazards to illustrate public health toxicology exposure measurement and modelling data analysis and prevention strategies
APS490Y1,Multi-Disciplinary Capstone Design An experience in multi-disciplinary engineering practice through a significant open-ended client-driven design project in which student teams address stakeholder needs through the use of a creative and iterative design process 
APS500H1,Negotiations in an Engineering Context Instruction of concepts theories and research but most importantly the practice of negotiation skills The course will cover all kinds of negotiations scenarios that individuals might face in the course of their careers as Engineers; this could include a range of single-issue single-party negotiations to multi-party multi-issues negotiations
APS502H1,Financial Engineering This course will focus on capital budgeting financial optimization and project evaluation models and their solution techniques In particular linear non-linear and integer programming models and their solutions techniques will be studied The course will give engineering students a background in modern capital budgeting and financial techniques that are relevant in practival engineering and commercial settings
APS510H1,Innovative Technologies and Organizations in Global Energy Systems Complementary Studies elective
APS511H1,Inventions and Patents for Engineers Teaches the process of preparing a patent application for an invention for engineers and scientists Teaches methods to take an invention from conception to a level that a patent application can be filed on it Describes how to write an invention disclosure Describes how to prepare the background section brief listing of figures detailed description of the invention independent and dependent claims abstract and artwork Teaches use of patent search engines
APS521H1,Building Organizations:  An Engineers Business Toolkit Develops simple powerful tools and strategies for designing starting growing managing changing fixing and evolving successful organisations in the engineering industry It is highly practical develops a model for analysing an organisation and then applies it in clear simple steps The curriculum is designed for Engineers looking to lead organisations commercialise product ideas or manage change in existing institutions
APS530H1,"Appropriate Technology & Design for Global Development Engineering design within the context of global society emphasizing the needs of users in order to support appropriate sustainable technology A design project will comprise the major component of the course work The course will take the approach of ""design for X"" Students are expected to be familiar with design for functionality safety robustness etc This course will extend the students understanding of design methodologies to design for ""appropriateness in developing regions"" Readings and discussions will explore the social cultural economic educational environmental and political contexts in which third world end users relate to technology Students will then incorporate their deepened understanding of this context in their design project The projects will be analyzed for functionality as well as appropriateness and sustainability in the third world context Upon completion of the course students should have a deeper appreciation of the meaning of appropriate technology in various international development sectors such as healthcare water & sanitation land management energy infrastructure and communications in both urban and rural settings"
BME205H1,Fundamentals of Biomedical Engineering Introduction to connecting engineering and biological approaches to solve problems in medicine science and technology Emphasis is placed on demonstrating the connection between organ level function with cellular mechanisms Topics may include but are not limited to: design principles of biological systems medical devices overviews of anatomy and physiology and cellular mechanisms as they relate to biotechnological and medical technology applications Laboratories will provide hands-on experiences with selected concepts and encourage students to understand how to connect their own vital and physiologic signs to current medical technologies
BME330H1,Patents in Biology and Medical Devices The emphasis of the course is on applying the logic of patents to diverse cases of products through biology and biomedical engineering A commercial context will be ever present the case studies Students will work in teams on these problems in class Students will learn to apply tests for obviousness inventiveness novelty and enablement based on the use of these tests in technology patents in the past Claim construction will be introduced towards the end of the course to learn how technologies can be protected in considering a patent There will be papers for reading in this course but no textbook This course is designed for senior undergraduate students 3-4 year
BME331H1,Physiological Control Systems Introduces physiological concepts and selected physiological control systems present in the human body and proposes quantitative modeling approaches for these systems Topics covered will include 1 the endocrine system and its subsystems including glucose regulation and the stress response 2 the cardiovascular system and related aspects such as cardiac output venous return control of blood flow by the tissues and nervous regulation of circulation and 3 the nervous and musculoskeletal systems including the control of voluntary motion Linear control theory will be used to develop skills in system modeling and examine concepts of system response and system control in the context of a healthy human body
BME344H1,Modeling Dynamics and Control of Biological Systems Introduction to modeling of physiological control systems present in the human body combining physiology linear system modeling and linear control theory Topics include: representation of physical systems using differential equations and linearization of these dynamic models; graphical representation of the control systems/plants; Laplace transforms; transfer functions; performance of dynamic systems; time and frequency analysis; observability and controllability; and close-loop controller design
BME346H1,Biomedical Engineering Technologies An introduction to the principles and design of fundamental technologies used in biomedical engineering research Topics may include but are not limited to tissue culture; spectroscopy; electrophoresis; PCR genomics sequencing technologies and gene expression measurement; protein expression assays and tagging strategies; fluorescence labeling tools microscopy and high content imaging; DNA manipulation and transfection RNAi and other genetic and molecular tools for transformation of organisms Laboratories will provide hands-on experience with selected technologies Students will engage in a major design project in which they will design an experimental plan to investigate a specific research question also of their design utilizing available laboratory technologies 
BME350H1,Biomedical Systems Engineering I: Organ Systems An introduction to human anatomy and physiology with selected focus on the nervous cardiovascular respiratory renal and endocrine systems The structures and mechanisms responsible for proper function of these complex systems will be examined in the healthy and diseased human body The integration of different organ systems will be stressed with a specific focus on the structure-function relationship Application of biomedical engineering technologies in maintaining homeostasis will also be discussed
BME352H1,Biomaterials and Biocompatibility An introduction to the science of biomaterials focusing on polymeric biomaterials and biocompatibility Topics include biomaterial surface analysis hydrogel rheology and swelling protein adsorption cell adhesion and migration and the foreign body response Primary focus is on implantable biomaterials but some attention will be given to applications of biomaterials in biotechnology and drug delivery Specific device or other examples as well as the research literature will be used to illustrate the topic at hand
BME358H1,Molecular Biophysics Topics to be covered will include: Building blocks of the living cell; thermodynamics of living systems: interactions and kinetic energy equilibrium and non-equilibrium processes entropy temperature free energy and chemical potential ; diffusion and friction in liquids Brownian motion; membrane potential ion pumps and nerve cells; light and molecules: photon absorption and fluorescence; light microscope fluorescence as a window into cells optogenetics and fluorescent reporters; two-photon excitation and fluorescence resonance energy transfer; the eye image formation and color vision; structural color in animals
BME395H1,Biomedical Systems Engineering II: Cells and Tissues Tissue engineering is largely based on concepts that emerged from developmental biology This course provides an introduction to the study of animal development both at the cellular and molecular levels Topics include developmental patterning differential gene expression morphogenesis stem cells repair and regeneration
BME396H1,Biomedical Systems Engineering III: Molecules and Cells Understanding diversity of cell behaviour at the molecular level Through discussion of molecular dynamics in living cells in the context of varied microenvironments develop an understanding of cellular behaviour based on intracellular events in response to extracellular stimuli Specific topics include receptor-ligand interatctions morphogens signal transduction cell growth & differentiation cell adhesion and migration trafficking and mechanotransduction Examples from in vitro culture systems and model organisms in vivo are used to support discussions
BME410H1,Regenerative Engineering The course encompasses the new multidisciplinary area of Regenerative Engineering by integrating various components of Regenerative Medicine Clinical Engineering Human Biology & Physiology Advanced Biomaterials Tissue Engineering and Stem Cell and Developmental Biology bringing all these disciplines into the clinical perspective of translational medicine The course starts with the key concepts of stem cell biology and their properties at the cellular and subcellular levels working our way to complex tissues and organs In the first half of the course 2D and 3D tissue and organ formation will be our main focus In the second half we will discuss the integration of medical devices technologies and treatments into healthcare as well as clinical trial logistics ethics and processes The course materials will integrate cutting-edge research in regenerative medicine and current clinical trials by inviting scientists and clinicians as guest lecturers Students will be given the rare opportunity to incorporate into their written assignments experiment-based learning via participation in workshops tours of research facilities seminars and independent projects integrated into the course during the semester
BME412H1,Introduction to Biomolecular Engineering Introduces the mechanics and dynamics of the operation of life at the molecular level by teaching how to design new proteins DNA and RNA Introduces the fundamentals of biomolecular structure function thermodynamics and kinetics Covers a broad range of computational and experimental techniques including atomistic simulations bioinformatics machine learning high-throughput screening and gene editing
BME428H1,Biomedical Systems Engineering IV: Computational Systems Biology Through systematic mathematical analysis of biological networks this course derives design principles that are cornerstones for the understanding of complex natural biological systems and the engineering of synthetic biological systems Course material includes: transcriptional networks autoregulation feed-forward loops global network structure protein networks robustness kinetic proofreading and optimality After completion of the course students should be able to use quantitative reasoning to analyze biological systems and construct mathematical models to describe biological systems
BME435H1,Biostatistics This is intended to provide students interested in biomedical research with an introduction to core statistical concepts and methods including experimental design The course also provides a good foundation in the use of discovery tools provided by a data analysis and visualization software The topics covered will include: i Importance of being uncertain; ii Error bars; iii Significance p-values and t-tests; iv Power and sample size; v Visualizing samples with box plots; vi Comparing samples; vii Non parametric tests; viii Designing comparative experiments; ix Analysis of variance and blocking; x Replication; xi Two-factor designs; xii Association correlation and causation; xiii Simple linear regression; xiv Regression diagnostics The concepts will be illustrated with realistic examples that are commonly encountered by biomedical researchers as opposed to the simpler examples described in entry-level textbooks The statistical softwares used in this course are JMP and R Studio
BME440H1,Biomedical Engineering Technology and Investigation Fundamental biomedical research technologies with specific focus on cellular and molecular methodologies Examples include DNA and protein analysis and isolation microscopy cell culture and cellular assays Combines both theoretical concepts and hand-on practical experience via lectures and wet labs respectively Specific applications as applied to biotechnology and medicine will also be outlined and discussed
BME445H1,Neural Bioelectricity Generation transmission and the significance of bioelectricity in neural networks of the brain Topics covered include: i Basic features of neural systems ii Ionic transport mechanisms in cellular membranes iii Propagation of electricity in neural cables iv Extracellular electric fields v Neural networks neuroplasticity and biological clocks vi Learning and memory in artificial neural networks Laboratory experiences include: a Biological measurements of body surface potentials EEG and EMG b Experiments on computer models of generation and propagation of neuronal electrical activities c Investigation of learning in artificial neural networks This course was previously offered as ECE445H1
BME455H1,Cellular and Molecular Bioengineering II Engineering and biophysical tools are used to integrate and enhance our understanding of animal cell behaviour from the molecular to the tissue level Quantitative methods are used to mathematically model the biology of cell growth division and differentiation to tissue formation Specific topics include receptor-ligand interactions cell adhesion and migration signal transduction cell growth and differentiation Examples from the literature are used to highlight applications in cellular and tissue engineering
BME460H1,"Biomaterial and Medical Device Product Development The objective of this course is to provide students with strategies by which they can ""reverse engineer"" medical device products intended for use as implantable devices or in contact with body tissue and fluids A top down approach will be taken where the regulatory path for product approval and associated costs with product development and validation are reviewed for different biomaterials and devices This path is then assessed in the context of product specific reimbursement safety competitive positioning and regulatory concerns Students will be required to use their existing knowledge of biomaterials and biocompatibility to frame the questions challenges and opportunities with a mind to re-engineering products in order to capitalize on niche regulatory pathways The resulting regulatory path gives a good idea of the kind of trial design the product must prevail in and ultimately the design characteristics of the device itself The United States and Europe will be contrasted with respect to both their regulatory environment and reimbursement Lastly quantitative product development risks estimates are considered in choosing a product path strategy for proof of concept and approval"
BME479H1,"Introduction to Biomedical Systems Engineering Design Concepts A seminar to introduce students to concepts in biomedical systems engineering design in preparation for BME489H1 - Biomedical Systems Engineering Design Review of general design concepts in the context of biodesign practice Discussion of issues related to biodesign including regulatory processes intellectual property and global health Students will be introduced to clients identify a design project and define their design problem At the end of the term students will deliver a draft ""elevator pitch"" for their project"
BME489H1,Biomedical Systems Engineering Design A capstone design project that provides students in the Biomedical Systems Engineering option with an opportunity to intergrate and apply their technical knowledge and communication skills to solve real-world biomedical engineering design challenges Students will work in small groups on projects that evolve from clinical partners biomedical/clinical research and teaching labs and commercial partners At the end of the course students submit a final design report and a poster for public exhibition
BME498Y1,"Biomedical Engineering Capstone Design In this project-based design course teams of students from diverse engineering disciplines enrolled in the biomedical engineering minor will engage in the biomedical technology design process to identify invent and implement a solution to an unmet clinical need defined by external clients and experts This course emphasizes ""hands-on"" practicums and lectures to support a student-driven design project The UG Office will reach out in the summer to 4th year BME Minor students regarding course registration For A&S students approval to register in the course must be obtained from the course instructor by completing the application available through the BME UG Office"
BME520H1,Imaging Case Studies in Clinical Engineering An introduction to current practices in modern radiology - the detection and assessment of various human diseases using specialized imaging tools eg MRI CT ultrasound and nuclear imaging from the perspective of the end-user the clinician Course content will include lectures delivered by radiologists describing normal anatomy and physiology as well as tissue pathophysiology ie disease Visualization and characterization using medical imaging will be described with core lecture material complemented by industry representative guest lectures where challenges and opportunities in the development of new medical imaging technologies for niche applications will be discussed 
BME530H1,Human Whole Body Biomechanics An introduction to the principles of human body movement Specific topics include the dynamics of human motion and the neural motor system with a focus on the positive/negative adaptability of the motor system Students will experience basic techniques of capturing and analyzing human motion Engineering applications and the field of rehabilitation engineering will be emphasized using other experimental materials This course is designed for senior undergraduate and graduate students
BME595H1,Medical Imaging An introductory course to medical imaging and is designed as a final year course for engineers The main clinical imaging modalities are covered: magnetic resonance imaging ultrasound imaging x-ray and computed tomography nuclear medicine and clinical optical imaging Emphasis is placed on the underlying physical and mathematical concepts behind each modality and applications are discussed in the context of how different modalities complement one another in the clinical setting Early year engineering concepts are extensively used including: basic electromagnetics theory fields and waves signals and systems digital signal processing differential equations and calculus and probability and random processes The laboratories involve image reconstruction and analysis for the various imaging modalities and a live animal imaging session
CHE112H1,Physical Chemistry A course in physical chemistry Topics discussed include systems and their states stoichiometry the properties of gases the laws of chemical thermodynamics calculations involving internal energy enthalpy free energy and entropy phase equilibrium chemical equilibrium ionic equilibrium acids and bases solutions colligative properties electrochemistry and corrosion
CHE113H1,Concepts in Chemical Engineering This course provides first year students with an overview of the chemical industry the chemical engineering profession and introduces key concepts for the upcoming years of study The chemical industry is the interface between natural resources minerals oil gas agricultural products etc and the consumers of the higher value products derived therefrom This diverse industry has both high volume-low unit value and low volume-high unit value products and the manufacture of each type of product has its own challenges The chemical engineering profession applies the scientific fundamentals through two key concepts: Unit Operations as well as Flux The fundamental elements of stoichiometry and reaction kinetics are further extended to cover the concepts of yield conversion and their specific applications to continuous and batch reactor systems Analysis of electrical circuits is introduced leading to nodal analysis of circuits The application of resistance in series and capacitance is extended into chemical engineering problems involved heat transfer mass transfer and momentum transfer as well as reaction engineering The laboratory will reinforce these key chemical engineering principles
